driver,month,spec,n_files,n_lines,commit,sample_path
PYTHON,2023-09,server-selection,68,2783,0590ce49,test/server_selection/in_window/equilibrium.json
PYTHON,2023-09,sessions,7,3343,0590ce49,test/sessions/driver-sessions-dirty-session-errors.json
PYTHON,2023-09,transactions,36,26646,0590ce49,test/transactions/legacy/abort.json
PYTHON,2023-09,transactions-convenient-api,9,3780,0590ce49,test/transactions-convenient-api/callback-aborts.json
PYTHON,2023-09,unified-test-format,271,11742,0590ce49,test/unified-test-format/invalid/clientEncryptionOpts-additionalProperties.json
PYTHON,2023-09,uri-options,9,1354,0590ce49,test/uri_options/auth-options.json
PYTHON,2023-09,versioned-api,6,2834,0590ce49,test/versioned-api/crud-api-version-1-strict.json
PYTHON,2023-10,atlas-data-lake-testing,7,282,c146017d,test/data_lake/aggregate.json
PYTHON,2023-10,auth,3,935,c146017d,test/auth/legacy/connection-string.json
PYTHON,2023-10,bson-corpus,31,5250,c146017d,test/bson_corpus/array.json
PYTHON,2023-10,change-streams,8,8197,c146017d,test/change_streams/unified/change-streams-clusterTime.json
PYTHON,2023-10,client-side-encryption,137,87816,c146017d,test/client-side-encryption/corpus/corpus-encrypted.json
PYTHON,2023-10,client-side-operations-timeout,24,31155,c146017d,test/csot/bulkWrite.json
PYTHON,2023-10,collection-management,4,814,c146017d,test/collection_management/clustered-indexes.json
PYTHON,2023-10,command-monitoring,12,2801,c146017d,test/command_monitoring/bulkWrite.json
PYTHON,2023-10,connection-monitoring-and-pooling,30,1934,c146017d,test/cmap/connection-must-have-id.json
PYTHON,2023-10,connection-string,10,1696,c146017d,test/connection_string/test/invalid-uris.json
PYTHON,2023-10,crud,142,31521,c146017d,test/crud/unified/aggregate-allowdiskuse.json
PYTHON,2023-10,faas-automated-testing,2,104,c146017d,test/lambda/events/event.json
PYTHON,2023-10,gridfs,5,2475,c146017d,test/gridfs/delete.json
PYTHON,2023-10,index-management,5,614,c146017d,test/index_management/createSearchIndex.json
PYTHON,2023-10,initial-dns-seedlist-discovery,52,618,c146017d,test/srv_seedlist/load-balanced/loadBalanced-directConnection.json
PYTHON,2023-10,load-balancers,8,3943,c146017d,test/load_balancer/cursors.json
PYTHON,2023-10,max-staleness,32,2293,c146017d,test/max_staleness/ReplicaSetNoPrimary/DefaultNoMaxStaleness.json
PYTHON,2023-10,read-write-concern,6,1212,c146017d,test/read_write_concern/document/read-concern.json
PYTHON,2023-10,retryable-reads,43,21268,c146017d,test/retryable_reads/legacy/aggregate-merge.json
PYTHON,2023-10,retryable-writes,33,8244,c146017d,test/retryable_writes/legacy/bulkWrite-errorLabels.json
PYTHON,2023-10,run-command,2,1512,c146017d,test/run_command/unified/runCommand.json
PYTHON,2023-10,server-discovery-and-monitoring,200,22203,c146017d,test/discovery_and_monitoring/errors/error_handling_handshake.json
PYTHON,2023-10,server-selection,68,2783,c146017d,test/server_selection/in_window/equilibrium.json
PYTHON,2023-10,sessions,7,3343,c146017d,test/sessions/driver-sessions-dirty-session-errors.json
PYTHON,2023-10,transactions,36,26646,c146017d,test/transactions/legacy/abort.json
PYTHON,2023-10,transactions-convenient-api,9,3780,c146017d,test/transactions-convenient-api/callback-aborts.json
PYTHON,2023-10,unified-test-format,271,11742,c146017d,test/unified-test-format/invalid/clientEncryptionOpts-additionalProperties.json
PYTHON,2023-10,uri-options,10,1400,c146017d,test/uri_options/auth-options.json
PYTHON,2023-10,versioned-api,6,2834,c146017d,test/versioned-api/crud-api-version-1-strict.json
PYTHON,2023-11,atlas-data-lake-testing,7,282,2dd33a2c,test/data_lake/aggregate.json
PYTHON,2023-11,auth,3,935,2dd33a2c,test/auth/legacy/connection-string.json
PYTHON,2023-11,bson-corpus,31,5250,2dd33a2c,test/bson_corpus/array.json
PYTHON,2023-11,change-streams,8,8197,2dd33a2c,test/change_streams/unified/change-streams-clusterTime.json
PYTHON,2023-11,client-side-encryption,137,87816,2dd33a2c,test/client-side-encryption/corpus/corpus-encrypted.json
PYTHON,2023-11,client-side-operations-timeout,24,31155,2dd33a2c,test/csot/bulkWrite.json
PYTHON,2023-11,collection-management,4,814,2dd33a2c,test/collection_management/clustered-indexes.json
PYTHON,2023-11,command-monitoring,12,2801,2dd33a2c,test/command_monitoring/bulkWrite.json
PYTHON,2023-11,connection-monitoring-and-pooling,30,1934,2dd33a2c,test/cmap/connection-must-have-id.json
PYTHON,2023-11,connection-string,10,1696,2dd33a2c,test/connection_string/test/invalid-uris.json
PYTHON,2023-11,crud,142,31521,2dd33a2c,test/crud/unified/aggregate-allowdiskuse.json
PYTHON,2023-11,faas-automated-testing,2,104,2dd33a2c,test/lambda/events/event.json
PYTHON,2023-11,gridfs,5,2475,2dd33a2c,test/gridfs/delete.json
PYTHON,2023-11,index-management,5,614,2dd33a2c,test/index_management/createSearchIndex.json
PYTHON,2023-11,initial-dns-seedlist-discovery,52,649,2dd33a2c,test/srv_seedlist/load-balanced/loadBalanced-directConnection.json
PYTHON,2023-11,load-balancers,8,3943,2dd33a2c,test/load_balancer/cursors.json
PYTHON,2023-11,max-staleness,32,2293,2dd33a2c,test/max_staleness/ReplicaSetNoPrimary/DefaultNoMaxStaleness.json
PYTHON,2023-11,read-write-concern,6,1212,2dd33a2c,test/read_write_concern/document/read-concern.json
PYTHON,2023-11,retryable-reads,43,21268,2dd33a2c,test/retryable_reads/legacy/aggregate-merge.json
PYTHON,2023-11,retryable-writes,33,8244,2dd33a2c,test/retryable_writes/legacy/bulkWrite-errorLabels.json
PYTHON,2023-11,run-command,2,1512,2dd33a2c,test/run_command/unified/runCommand.json
PYTHON,2023-11,server-discovery-and-monitoring,200,22203,2dd33a2c,test/discovery_and_monitoring/errors/error_handling_handshake.json
PYTHON,2023-11,server-selection,68,2783,2dd33a2c,test/server_selection/in_window/equilibrium.json
PYTHON,2023-11,sessions,7,3343,2dd33a2c,test/sessions/driver-sessions-dirty-session-errors.json
PYTHON,2023-11,transactions,36,26646,2dd33a2c,test/transactions/legacy/abort.json
PYTHON,2023-11,transactions-convenient-api,9,3780,2dd33a2c,test/transactions-convenient-api/callback-aborts.json
PYTHON,2023-11,unified-test-format,271,11742,2dd33a2c,test/unified-test-format/invalid/clientEncryptionOpts-additionalProperties.json
PYTHON,2023-11,uri-options,10,1400,2dd33a2c,test/uri_options/auth-options.json
PYTHON,2023-11,versioned-api,6,2834,2dd33a2c,test/versioned-api/crud-api-version-1-strict.json
PYTHON,2023-12,atlas-data-lake-testing,7,282,60d07615,test/data_lake/aggregate.json
PYTHON,2023-12,auth,3,935,60d07615,test/auth/legacy/connection-string.json
