driver,month,spec,n_files,n_lines,driver_commit,submodule_sha
JAVA,2026-05,change-streams,9,4044,e9c0c4b0,7039e699
JAVA,2026-05,client-backpressure,4,3434,e9c0c4b0,7039e699
JAVA,2026-05,client-side-encryption,223,54199,e9c0c4b0,7039e699
JAVA,2026-05,client-side-operations-timeout,28,20686,e9c0c4b0,7039e699
JAVA,2026-05,collection-management,6,482,e9c0c4b0,7039e699
JAVA,2026-05,command-logging-and-monitoring,25,3059,e9c0c4b0,7039e699
JAVA,2026-05,connection-monitoring-and-pooling,35,1704,e9c0c4b0,7039e699
JAVA,2026-05,connection-string,8,1256,e9c0c4b0,7039e699
JAVA,2026-05,crud,189,18682,e9c0c4b0,7039e699
JAVA,2026-05,gridfs,8,1152,e9c0c4b0,7039e699
JAVA,2026-05,index-management,7,535,e9c0c4b0,7039e699
JAVA,2026-05,initial-dns-seedlist-discovery,53,467,e9c0c4b0,7039e699
JAVA,2026-05,load-balancers,8,1533,e9c0c4b0,7039e699
JAVA,2026-05,max-staleness,32,965,e9c0c4b0,7039e699
JAVA,2026-05,mongodb-handshake,1,55,e9c0c4b0,7039e699
JAVA,2026-05,open-telemetry,22,2008,e9c0c4b0,7039e699
JAVA,2026-05,read-write-concern,8,807,e9c0c4b0,7039e699
JAVA,2026-05,retryable-reads,45,12102,e9c0c4b0,7039e699
JAVA,2026-05,retryable-writes,35,6198,e9c0c4b0,7039e699
JAVA,2026-05,run-command,2,660,e9c0c4b0,7039e699
JAVA,2026-05,server-discovery-and-monitoring,230,16647,e9c0c4b0,7039e699
JAVA,2026-05,server-selection,108,2917,e9c0c4b0,7039e699
JAVA,2026-05,sessions,7,1834,e9c0c4b0,7039e699
JAVA,2026-05,transactions,44,17522,e9c0c4b0,7039e699
JAVA,2026-05,transactions-convenient-api,10,2027,e9c0c4b0,7039e699
JAVA,2026-05,unified-test-format,320,6353,e9c0c4b0,7039e699
JAVA,2026-05,uri-options,12,1358,e9c0c4b0,7039e699
JAVA,2026-05,versioned-api,6,1088,e9c0c4b0,7039e699
GODRIVER,2017-02,command-monitoring,9,784,a8c90b1f,deff67d6
GODRIVER,2017-02,connection-string,7,1069,a8c90b1f,deff67d6
GODRIVER,2017-02,crud,32,1431,a8c90b1f,deff67d6
GODRIVER,2017-02,gridfs,4,562,a8c90b1f,deff67d6
GODRIVER,2017-02,max-staleness,35,1026,a8c90b1f,deff67d6
GODRIVER,2017-02,read-write-concern,4,214,a8c90b1f,deff67d6
GODRIVER,2017-02,server-discovery-and-monitoring,57,2959,a8c90b1f,deff67d6
